Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
FMIL,886,200,44.71,60,26.14,29.36,886,0
DFND,882,100,44.28,2,32.97,34.80,882,0
PSEP,867,100,34.46,100,21.96,29.33,867,0
XJH,852,200,43.56,200,26.14,34.03,852,0
ACIO,836,100,39.49,100,22.98,30.77,836,0
NJAN,836,100,49.40,100,28.73,38.35,836,0
BMAY,820,200,46.34,200,15.45,30.44,820,0
GHTA,800,200,35.18,200,11.73,23.27,800,0
UNOV,794,200,41.95,200,13.99,27.85,694,100
IMLP,784,200,23.83,200,7.95,15.73,784,0
SMMD,767,100,71.17,200,29.34,57.37,767,0
BDEC,755,100,41.88,100,24.37,32.58,755,0
DUSA,744,200,43.91,200,14.64,28.69,744,0
FDHT,736,200,29.60,200,9.87,19.43,736,0
PBSM,718,100,43.93,100,25.55,34.20,718,0
PFEB,711,100,36.42,100,21.19,28.34,711,0
MSTB,708,100,34.55,100,20.11,26.86,708,0
YPS,702,200,33.28,200,11.10,21.64,702,0
FMAR,700,100,41.44,100,24.10,32.14,700,0
PSMJ,693,200,32.08,200,10.70,21.22,593,100
MAGA,683,100,50.61,100,29.43,39.18,683,0
DUDE,650,200,35.89,200,11.97,23.91,650,0
PDEC,621,100,38.67,100,22.50,30.13,621,0
FFSG,603,200,50.98,100,24.92,33.21,603,0
QMAR,600,100,28.97,100,14.08,20.92,600,0
KNGS,595,100,26.53,100,12.89,19.08,595,0
EGIS,585,200,49.25,100,24.08,32.17,585,0
XJR,576,200,45.70,200,27.43,35.76,576,0
DFNV,572,200,36.76,200,12.26,23.94,572,0
IBHE,566,200,34.56,200,11.52,22.97,566,0
FJUL,565,200,53.92,200,17.98,35.50,565,0
EFAD,563,200,54.34,25,30.00,35.61,563,0
IPDP,531,200,24.21,200,8.08,15.80,531,0
DJUN,523,100,42.21,100,24.55,32.85,247,276
VFLQ,508,200,126.48,200,75.90,99.09,508,0
AFIF,505,200,13.43,200,4.48,8.94,505,0
PSMM,504,200,21.39,100,10.29,14.27,504,0
MSVX,500,100,31.40,100,16.47,24.38,500,0
XDAT,500,200,27.85,100,12.22,18.15,500,0
XUSP,500,200,40.50,200,13.51,26.20,500,0
DINT,497,200,24.85,200,8.29,16.42,497,0
FEDX,491,200,40.01,100,20.11,26.16,491,0
LUXE,486,10,24.05,100,15.85,23.37,486,0
HYXU,484,200,52.55,200,31.54,41.22,484,0
QTJA,475,200,30.81,200,10.28,20.07,475,0
GLOV,471,200,60.41,200,20.14,39.90,471,0
PSFO,458,200,30.87,200,10.29,20.41,458,0
XDQQ,452,200,35.94,100,19.11,23.73,252,200
HELX,442,100,43.28,100,25.17,33.68,442,0
BJUL,437,100,41.23,100,23.99,32.15,437,0
IEDI,402,200,61.25,200,20.42,39.81,402,0
FDEC,400,100,41.68,100,24.24,32.42,400,0
KOCT,400,100,33.50,200,13.12,25.99,0,400
NJUL,400,100,58.25,100,33.89,45.39,100,300
DFRA,391,200,40.53,200,13.52,26.73,391,0
PBDM,390,100,32.68,100,15.88,23.40,390,0
OUSM,388,100,43.90,100,25.53,34.13,388,0
VFMV,373,100,120.75,100,82.13,101.23,373,0
IDHD,372,200,35.80,200,11.94,23.88,372,0
PWS,372,100,39.53,100,23.00,30.75,372,0
MEAR,362,100,58.29,100,41.19,49.78,362,0
TSOC,350,200,44.65,200,14.89,29.10,350,0
FFTG,324,200,39.99,200,13.34,26.12,324,0
BOSS,316,100,33.04,200,13.12,25.59,316,0
GDMN,315,200,30.33,5,19.88,20.07,315,0
PEX,310,100,36.38,200,14.08,27.62,310,0
RESD,310,200,31.79,200,19.08,25.00,310,0
PJUN,308,100,39.35,100,22.89,30.66,5,303
FDEV,306,100,31.35,100,16.44,24.26,306,0
TFJL,300,200,31.87,200,10.63,21.16,300,0
ALFA,299,200,93.21,200,31.07,62.10,299,0
QPFF,298,200,55.95,200,18.66,37.00,298,0
UOCT,290,100,34.87,100,20.28,27.11,90,200
FSMO,289,100,29.08,100,14.13,20.99,289,0
TBJL,271,200,31.38,200,10.47,20.78,271,0
HCRB,268,200,45.02,200,27.02,35.88,268,0
NULC,266,200,53.32,200,17.78,34.82,266,0
ROCI,261,200,36.06,200,12.03,23.60,261,0
HYBL,259,200,35.73,200,21.45,28.40,259,0
FLQS,258,200,53.18,200,17.73,34.71,258,0
BUYZ,243,100,33.31,100,16.19,23.95,243,0
ESGG,240,200,193.21,200,64.41,126.60,240,0
FPAG,230,200,33.42,200,11.15,21.83,230,0
BJUN,224,200,48.71,200,16.24,31.95,200,24
